Video Name,Duration (s),Resolution,FPS,Frame Count,Number of Phases,Total Phase Transitions
0004_28.mkv,83.52,480x320,29.97,2503,1,0
0003_21.mkv,176.61,480x320,29.97,5293,2,1
1004_26_X25.mkv,85.02,480x320,29.97,2548,2,1
1000_28_X27.mkv,31.97,480x320,29.97,958,1,0
1007_26.mkv,85.02,480x320,29.97,2548,2,2
1007_27.mkv,59.99,480x320,29.97,1798,2,1
0004_29.mkv,622.05,480x320,29.97,18643,3,13
0003_22.mkv,100.03,480x320,29.97,2998,2,1
0002_27_X26.mkv,60.99,480x320,29.97,1828,2,1
1007_30.mkv,797.23,480x320,29.97,23893,3,26
1007_24.mkv,299.23,480x320,29.97,8968,3,8
0003_23.mkv,54.99,480x320,29.97,1648,2,1
1005_25.mkv,792.22,480x320,29.97,23743,3,30
0003_27.mkv,100.03,480x320,29.97,2998,2,1
1004_27_X26.mkv,96.53,480x320,29.97,2893,2,1
1007_21.mkv,87.52,480x320,29.97,2623,2,1
1005_30.mkv,653.59,480x320,29.97,19588,3,26
1005_24.mkv,225.66,480x320,29.97,6763,3,8
0003_24.mkv,501.43,480x320,29.97,15028,3,8
0002_26_X25.mkv,40.97,480x320,29.97,1228,2,1
1000_25_X29.mkv,329.26,480x320,29.97,9868,3,17
1007_23.mkv,50.98,480x320,29.97,1528,1,0
1007_22.mkv,78.51,480x320,29.97,2353,2,1
1003_21.mkv,71.0,480x320,29.97,2128,2,1
1004_29_X28.mkv,352.79,480x320,29.97,10573,3,7
1002_28_X27.mkv,28.46,480x320,29.97,853,2,2
1003_22.mkv,44.48,480x320,29.97,1333,2,1
1003_23.mkv,37.97,480x320,29.97,1138,2,1
1003_27.mkv,85.52,480x320,29.97,2563,1,0
1003_26.mkv,79.51,480x320,29.97,2383,2,2
0002_29_X28.mkv,192.63,480x320,29.97,5773,3,8
1006_28.mkv,30.96,480x320,29.97,928,2,1
1003_30.mkv,607.04,480x320,29.97,18193,2,8
1003_24.mkv,170.1,480x320,29.97,5098,3,7
1003_25.mkv,345.78,480x320,29.97,10363,3,7
1006_29.mkv,162.6,480x320,29.97,4873,3,6
1006_24.mkv,202.14,480x320,29.97,6058,3,8
1006_30.mkv,761.69,480x320,29.97,22828,3,20
1003_28.mkv,25.96,480x320,29.97,778,1,0
1004_21.mkv,88.02,480x320,29.97,2638,2,1
0002_23.mkv,51.48,480x320,29.97,1543,1,0
0002_22.mkv,77.51,480x320,29.97,2323,2,1
1003_29.mkv,219.15,480x320,29.97,6568,4,9
1006_25.mkv,542.98,480x320,29.97,16273,3,19
1006_27.mkv,54.99,480x320,29.97,1648,2,1
1000_26_X25.mkv,53.49,480x320,29.97,1603,2,2
0002_25_X29.mkv,574.01,480x320,29.97,17203,3,19
1004_22.mkv,91.52,480x320,29.97,2743,2,1
1004_28_X27.mkv,52.49,480x320,29.97,1573,1,0
0002_21.mkv,93.53,480x320,29.97,2803,2,1
1004_23.mkv,35.47,480x320,29.97,1063,1,0
1006_26.mkv,57.99,480x320,29.97,1738,2,1
1002_29_X28.mkv,281.21,480x320,29.97,8428,3,8
1006_22.mkv,56.99,480x320,29.97,1708,2,1
0002_28_X27.mkv,39.97,480x320,29.97,1198,1,0
0002_24.mkv,345.78,480x320,29.97,10363,3,8
0002_30.mkv,754.19,480x320,29.97,22603,3,23
1006_23.mkv,33.47,480x320,29.97,1003,1,0
1000_27_X26.mkv,32.87,480x320,29.97,985,2,1
1006_21.mkv,152.09,480x320,29.97,4558,2,2
1004_24.mkv,331.76,480x320,29.97,9943,3,8
1004_30.mkv,509.94,480x320,29.97,15283,2,15
1004_31.mkv,697.63,480x320,29.97,20908,3,7
1002_23.mkv,52.99,480x320,29.97,1588,1,0
0003_28.mkv,38.47,480x320,29.97,1153,2,1
0004_21.mkv,130.06,480x320,29.97,3898,3,3
0003_29.mkv,405.84,480x320,29.97,12163,3,9
1002_22.mkv,58.49,480x320,29.97,1753,2,1
0004_22.mkv,101.53,480x320,29.97,3043,2,1
1000_29_X28.mkv,111.54,480x320,29.97,3343,3,7
1000_24.mkv,120.55,480x320,29.97,3613,3,8
1000_30.mkv,327.26,480x320,29.97,9808,3,17
1002_26_X25.mkv,64.0,480x320,29.97,1918,2,1
0004_23.mkv,61.49,480x320,29.97,1843,1,0
1002_21.mkv,63.5,480x320,29.97,1903,2,1
0004_27.mkv,135.07,480x320,29.97,4048,2,1
1007_29.mkv,288.72,480x320,29.97,8653,3,8
1007_28.mkv,38.47,480x320,29.97,1153,1,0
1000_21.mkv,81.01,480x320,29.97,2428,2,1
1002_24.mkv,299.73,480x320,29.97,8983,3,8
1002_30.mkv,724.66,480x320,29.97,21718,3,24
0004_26.mkv,146.58,480x320,29.97,4393,2,1
0004_24.mkv,569.0,480x320,29.97,17053,3,11
1000_23.mkv,34.97,480x320,29.97,1048,2,1
1002_27_X26.mkv,60.49,480x320,29.97,1813,2,1
1000_22.mkv,51.48,480x320,29.97,1543,2,1
